Date,ProductID,SalesPersonID,RegionID,Units Sold
19-02-2021,PROD_007,SP_001,REG_004,84
07-09-2021,PROD_002,SP_007,REG_001,128
03-02-2021,PROD_001,SP_006,REG_003,136
11-09-2020,PROD_004,SP_003,REG_002,91
23-09-2021,PROD_006,SP_008,REG_004,110
01-10-2020,PROD_001,SP_004,REG_001,51
05-08-2021,PROD_004,SP_010,REG_002,78
06-11-2020,PROD_007,SP_005,REG_003,146
27-01-2021,PROD_003,SP_002,REG_004,101
03-09-2021,PROD_007,SP_009,REG_003,52
30-09-2021,PROD_001,SP_009,REG_001,55
10-09-2020,PROD_004,SP_009,REG_003,137
27-07-2021,PROD_002,SP_005,REG_003,96
09-10-2020,PROD_006,SP_002,REG_001,52
06-04-2021,PROD_002,SP_003,REG_004,76
15-06-2021,PROD_006,SP_007,REG_002,145
09-09-2020,PROD_003,SP_001,REG_003,83
13-08-2021,PROD_004,SP_008,REG_003,91
27-08-2020,PROD_005,SP_004,REG_004,108
07-04-2021,PROD_006,SP_006,REG_002,144
08-06-2020,PROD_003,SP_008,REG_003,92
21-12-2021,PROD_007,SP_005,REG_004,71
10-08-2021,PROD_003,SP_001,REG_001,103
02-12-2021,PROD_004,SP_009,REG_002,55
30-08-2021,PROD_006,SP_004,REG_001,93
20-05-2020,PROD_003,SP_006,REG_003,143
13-09-2021,PROD_002,SP_010,REG_004,143
27-10-2021,PROD_003,SP_002,REG_002,99
22-12-2020,PROD_004,SP_003,REG_004,120
28-07-2021,PROD_002,SP_007,REG_003,66
29-09-2020,PROD_001,SP_002,REG_002,88
22-10-2020,PROD_005,SP_003,REG_001,127
19-05-2020,PROD_006,SP_008,REG_004,67
06-12-2021,PROD_001,SP_007,REG_001,67
26-08-2020,PROD_004,SP_009,REG_003,149
01-07-2021,PROD_003,SP_008,REG_002,104
27-07-2021,PROD_003,SP_005,REG_004,57
05-10-2020,PROD_003,SP_006,REG_001,90
02-09-2020,PROD_003,SP_004,REG_003,67
02-09-2021,PROD_006,SP_001,REG_002,127
13-04-2021,PROD_004,SP_004,REG_004,108
06-05-2021,PROD_002,SP_006,REG_001,66
15-01-2021,PROD_007,SP_001,REG_002,78
27-08-2020,PROD_004,SP_005,REG_003,69
05-02-2021,PROD_001,SP_008,REG_004,59
17-11-2021,PROD_003,SP_009,REG_003,109
28-12-2020,PROD_006,SP_002,REG_001,61
27-10-2021,PROD_003,SP_008,REG_002,130
02-11-2021,PROD_002,SP_003,REG_003,60
07-05-2020,PROD_007,SP_007,REG_001,73
